FromBIC,ToBIC,TimeTakenInMinutes,Charges
MMTOJPJTXXX,HDFCINBBXXX,96,20
UBSWCHZH80A,MMTOJPJTXXX,226,17
MMTOJPJTXXX,UBSWCHZH80A,226,20
CCBCCNBJXXX,MMTOJPJTXXX,183,13
MMTOJPJTXXX,CCBCCNBJXXX,183,20
RABONL2UXXX,MMTOJPJTXXX,178,17
MMTOJPJTXXX,RABONL2UXXX,178,20
RBOSGB2LXXX,MMTOJPJTXXX,106,11
MMTOJPJTXXX,RBOSGB2LXXX,106,20
SOGEFRPPXXX,MMTOJPJTXXX,156,19
MMTOJPJTXXX,SOGEFRPPXXX,156,20
MIDLGB22XXX,MMTOJPJTXXX,75,13
MMTOJPJTXXX,MIDLGB22XXX,75,20
COBADEFFXXX,MMTOJPJTXXX,107,19
MMTOJPJTXXX,COBADEFFXXX,107,20
WPACAU2SXXX,MMTOJPJTXXX,218,20
MMTOJPJTXXX,WPACAU2SXXX,218,20
INGBNL2AXXX,MMTOJPJTXXX,184,14
MMTOJPJTXXX,INGBNL2AXXX,184,20
PCBCCNBJXXX,MMTOJPJTXXX,76,20
MMTOJPJTXXX,PCBCCNBJXXX,76,20
BENDAU3BXXX,NATAAU3302S,23,18
NATAAU3302S,BENDAU3BXXX,23,16
SGBLAU2SXXX,NATAAU3302S,53,13
NATAAU3302S,SGBLAU2SXXX,53,16
RBOSAU2SXXX,NATAAU3302S,79,20
NATAAU3302S,RBOSAU2SXXX,79,16
ANZBAU3MXXX,NATAAU3302S,81,13
NATAAU3302S,ANZBAU3MXXX,81,16
CUSCAU2SXXX,NATAAU3302S,90,20
NATAAU3302S,CUSCAU2SXXX,90,16
HSBCAU2SXXX,NATAAU3302S,44,20
NATAAU3302S,HSBCAU2SXXX,44,16
QSNWAU4BXXX,NATAAU3302S,103,17
NATAAU3302S,QSNWAU4BXXX,103,16
BKWAAU4SXXX,NATAAU3302S,44,19
NATAAU3302S,BKWAAU4SXXX,44,16
WPACAU2SXXX,NATAAU3302S,49,20
NATAAU3302S,WPACAU2SXXX,49,16
BNPAFRPPXXX,NATAAU3302S,94,18
NATAAU3302S,BNPAFRPPXXX,94,16
KNABNL2HXXX,NATAAU3302S,238,16
NATAAU3302S,KNABNL2HXXX,238,16
MHCBJPJTXXX,NATAAU3302S,60,15
NATAAU3302S,MHCBJPJTXXX,60,16
ABNANL2AXXX,NATAAU3302S,209,16
NATAAU3302S,ABNANL2AXXX,209,16
DEUTDEBBXXX,NATAAU3302S,119,15
NATAAU3302S,DEUTDEBBXXX,119,16
MMTOJPJTXXX,NATAAU3302S,94,20
NATAAU3302S,MMTOJPJTXXX,94,16
BLKBCH22XXX,NATAAU3302S,139,17
NATAAU3302S,BLKBCH22XXX,139,16
CRESCHZZXXX,NATAAU3302S,233,11
NATAAU3302S,CRESCHZZXXX,233,16
CRLYFRPPXXX,NATAAU3302S,226,12
NATAAU3302S,CRLYFRPPXXX,226,16
AGRIFRPPXXX,NATAAU3302S,198,11
NATAAU3302S,AGRIFRPPXXX,198,16
HSBCGB2LXXX,NATAAU3302S,186,14
NATAAU3302S,HSBCGB2LXXX,186,16
SBININBBFXD,NATAAU3302S,81,15
NATAAU3302S,SBININBBFXD,81,16
BOTKJPJTXXX,NATAAU3302S,184,15
NATAAU3302S,BOTKJPJTXXX,184,16
BARCGB22XXX,NATAAU3302S,129,18
NATAAU3302S,BARCGB22XXX,129,16
SMBCJPJTXXX,NATAAU3302S,200,14
NATAAU3302S,SMBCJPJTXXX,200,16
ICICINBBCTS,NATAAU3302S,230,20
NATAAU3302S,ICICINBBCTS,230,16
WFBIUS6SXXX,NATAAU3302S,225,15
NATAAU3302S,WFBIUS6SXXX,225,16
ABOCCNBJXXX,NATAAU3302S,216,10
NATAAU3302S,ABOCCNBJXXX,216,16
BKCHCNBJXXX,NATAAU3302S,96,12
NATAAU3302S,BKCHCNBJXXX,96,16
HYVEDEMMXXX,NATAAU3302S,203,10
NATAAU3302S,HYVEDEMMXXX,203,16
HELADEF1RRS,NATAAU3302S,159,10
NATAAU3302S,HELADEF1RRS,159,16
BOFAUS3NXXX,NATAAU3302S,113,12
NATAAU3302S,BOFAUS3NXXX,113,16
BAFUCH22XXX,NATAAU3302S,223,14
NATAAU3302S,BAFUCH22XXX,223,16
UTIBINBBXXX,NATAAU3302S,224,15
NATAAU3302S,UTIBINBBXXX,224,16
CITIUS33XXX,NATAAU3302S,218,10
NATAAU3302S,CITIUS33XXX,218,16
CHASUS33XXX,NATAAU3302S,150,14
NATAAU3302S,CHASUS33XXX,150,16
HDFCINBBXXX,NATAAU3302S,164,20
NATAAU3302S,HDFCINBBXXX,164,16
UBSWCHZH80A,NATAAU3302S,89,17
NATAAU3302S,UBSWCHZH80A,89,16
CCBCCNBJXXX,NATAAU3302S,109,13
NATAAU3302S,CCBCCNBJXXX,109,16
RABONL2UXXX,NATAAU3302S,216,17
NATAAU3302S,RABONL2UXXX,216,16
RBOSGB2LXXX,NATAAU3302S,149,11
NATAAU3302S,RBOSGB2LXXX,149,16
SOGEFRPPXXX,NATAAU3302S,143,19
NATAAU3302S,SOGEFRPPXXX,143,16
MIDLGB22XXX,NATAAU3302S,213,13
NATAAU3302S,MIDLGB22XXX,213,16
COBADEFFXXX,NATAAU3302S,149,19
NATAAU3302S,COBADEFFXXX,149,16
INGBNL2AXXX,NATAAU3302S,112,14
NATAAU3302S,INGBNL2AXXX,112,16
PCBCCNBJXXX,NATAAU3302S,92,20
NATAAU3302S,PCBCCNBJXXX,92,16
RABOCHGGXXX,BLKBCH22XXX,92,18
BLKBCH22XXX,RABOCHGGXXX,92,17
CRESCHZZXXX,BLKBCH22XXX,98,11
BLKBCH22XXX,CRESCHZZXXX,98,17
BCVACH2LXXX,BLKBCH22XXX,26,18
BLKBCH22XXX,BCVACH2LXXX,26,17
BCVSCH2LXXX,BLKBCH22XXX,82,15
BLKBCH22XXX,BCVSCH2LXXX,82,17
BAFUCH22XXX,BLKBCH22XXX,69,14
BLKBCH22XXX,BAFUCH22XXX,69,17
UBSWCHZH80A,BLKBCH22XXX,111,17
BLKBCH22XXX,UBSWCHZH80A,111,17
ABBECHZZXXX,BLKBCH22XXX,97,14
BLKBCH22XXX,ABBECHZZXXX,97,17
BNPAFRPPXXX,BLKBCH22XXX,92,18
BLKBCH22XXX,BNPAFRPPXXX,92,17
KNABNL2HXXX,BLKBCH22XXX,100,16
BLKBCH22XXX,KNABNL2HXXX,100,17
MHCBJPJTXXX,BLKBCH22XXX,150,15
BLKBCH22XXX,MHCBJPJTXXX,150,17
ABNANL2AXXX,BLKBCH22XXX,81,16
BLKBCH22XXX,ABNANL2AXXX,81,17
DEUTDEBBXXX,BLKBCH22XXX,85,15
BLKBCH22XXX,DEUTDEBBXXX,85,17
MMTOJPJTXXX,BLKBCH22XXX,125,20
BLKBCH22XXX,MMTOJPJTXXX,125,17
NATAAU3302S,BLKBCH22XXX,118,16
BLKBCH22XXX,NATAAU3302S,118,17
CRLYFRPPXXX,BLKBCH22XXX,228,12
BLKBCH22XXX,CRLYFRPPXXX,228,17
AGRIFRPPXXX,BLKBCH22XXX,224,11
BLKBCH22XXX,AGRIFRPPXXX,224,17
HSBCGB2LXXX,BLKBCH22XXX,172,14
BLKBCH22XXX,HSBCGB2LXXX,172,17
SBININBBFXD,BLKBCH22XXX,211,15
BLKBCH22XXX,SBININBBFXD,211,17
ANZBAU3MXXX,BLKBCH22XXX,208,13
BLKBCH22XXX,ANZBAU3MXXX,208,17
BOTKJPJTXXX,BLKBCH22XXX,149,15
BLKBCH22XXX,BOTKJPJTXXX,149,17
BARCGB22XXX,BLKBCH22XXX,120,18
BLKBCH22XXX,BARCGB22XXX,120,17
SMBCJPJTXXX,BLKBCH22XXX,131,14
BLKBCH22XXX,SMBCJPJTXXX,131,17
CUSCAU2SXXX,BLKBCH22XXX,179,20
BLKBCH22XXX,CUSCAU2SXXX,179,17
ICICINBBCTS,BLKBCH22XXX,170,20
BLKBCH22XXX,ICICINBBCTS,170,17
WFBIUS6SXXX,BLKBCH22XXX,106,15
BLKBCH22XXX,WFBIUS6SXXX,106,17
ABOCCNBJXXX,BLKBCH22XXX,87,10
BLKBCH22XXX,ABOCCNBJXXX,87,17
BKCHCNBJXXX,BLKBCH22XXX,73,12
BLKBCH22XXX,BKCHCNBJXXX,73,17
HYVEDEMMXXX,BLKBCH22XXX,79,10
BLKBCH22XXX,HYVEDEMMXXX,79,17
HELADEF1RRS,BLKBCH22XXX,177,10
BLKBCH22XXX,HELADEF1RRS,177,17
BOFAUS3NXXX,BLKBCH22XXX,125,12
BLKBCH22XXX,BOFAUS3NXXX,125,17
UTIBINBBXXX,BLKBCH22XXX,112,15
BLKBCH22XXX,UTIBINBBXXX,112,17
CITIUS33XXX,BLKBCH22XXX,119,10
BLKBCH22XXX,CITIUS33XXX,119,17
CHASUS33XXX,BLKBCH22XXX,76,14
BLKBCH22XXX,CHASUS33XXX,76,17
HDFCINBBXXX,BLKBCH22XXX,137,20
BLKBCH22XXX,HDFCINBBXXX,137,17
CCBCCNBJXXX,BLKBCH22XXX,229,13
BLKBCH22XXX,CCBCCNBJXXX,229,17
RABONL2UXXX,BLKBCH22XXX,165,17
BLKBCH22XXX,RABONL2UXXX,165,17
RBOSGB2LXXX,BLKBCH22XXX,108,11
BLKBCH22XXX,RBOSGB2LXXX,108,17
SOGEFRPPXXX,BLKBCH22XXX,179,19
BLKBCH22XXX,SOGEFRPPXXX,179,17
MIDLGB22XXX,BLKBCH22XXX,197,13
BLKBCH22XXX,MIDLGB22XXX,197,17
COBADEFFXXX,BLKBCH22XXX,148,19
BLKBCH22XXX,COBADEFFXXX,148,17
WPACAU2SXXX,BLKBCH22XXX,88,20
BLKBCH22XXX,WPACAU2SXXX,88,17
INGBNL2AXXX,BLKBCH22XXX,219,14
BLKBCH22XXX,INGBNL2AXXX,219,17
PCBCCNBJXXX,BLKBCH22XXX,173,20
BLKBCH22XXX,PCBCCNBJXXX,173,17
RABOCHGGXXX,CRESCHZZXXX,72,18
CRESCHZZXXX,RABOCHGGXXX,72,11
BLKBCH22XXX,CRESCHZZXXX,35,17
CRESCHZZXXX,BLKBCH22XXX,35,11
BCVACH2LXXX,CRESCHZZXXX,77,18
CRESCHZZXXX,BCVACH2LXXX,77,11
BCVSCH2LXXX,CRESCHZZXXX,61,15
CRESCHZZXXX,BCVSCH2LXXX,61,11
BAFUCH22XXX,CRESCHZZXXX,110,14
CRESCHZZXXX,BAFUCH22XXX,110,11
UBSWCHZH80A,CRESCHZZXXX,57,17
CRESCHZZXXX,UBSWCHZH80A,57,11
ABBECHZZXXX,CRESCHZZXXX,39,14
CRESCHZZXXX,ABBECHZZXXX,39,11
BNPAFRPPXXX,CRESCHZZXXX,119,18
CRESCHZZXXX,BNPAFRPPXXX,119,11
KNABNL2HXXX,CRESCHZZXXX,192,16
CRESCHZZXXX,KNABNL2HXXX,192,11
MHCBJPJTXXX,CRESCHZZXXX,175,15
CRESCHZZXXX,MHCBJPJTXXX,175,11
ABNANL2AXXX,CRESCHZZXXX,238,16
CRESCHZZXXX,ABNANL2AXXX,238,11
DEUTDEBBXXX,CRESCHZZXXX,121,15
CRESCHZZXXX,DEUTDEBBXXX,121,11
MMTOJPJTXXX,CRESCHZZXXX,222,20
CRESCHZZXXX,MMTOJPJTXXX,222,11
NATAAU3302S,CRESCHZZXXX,84,16
CRESCHZZXXX,NATAAU3302S,84,11
CRLYFRPPXXX,CRESCHZZXXX,134,12
CRESCHZZXXX,CRLYFRPPXXX,134,11
AGRIFRPPXXX,CRESCHZZXXX,60,11
CRESCHZZXXX,AGRIFRPPXXX,60,11
HSBCGB2LXXX,CRESCHZZXXX,201,14
CRESCHZZXXX,HSBCGB2LXXX,201,11
SBININBBFXD,CRESCHZZXXX,200,15
CRESCHZZXXX,SBININBBFXD,200,11
ANZBAU3MXXX,CRESCHZZXXX,113,13
CRESCHZZXXX,ANZBAU3MXXX,113,11
BOTKJPJTXXX,CRESCHZZXXX,80,15
CRESCHZZXXX,BOTKJPJTXXX,80,11
BARCGB22XXX,CRESCHZZXXX,216,18
CRESCHZZXXX,BARCGB22XXX,216,11
SMBCJPJTXXX,CRESCHZZXXX,190,14
CRESCHZZXXX,SMBCJPJTXXX,190,11
CUSCAU2SXXX,CRESCHZZXXX,68,20
CRESCHZZXXX,CUSCAU2SXXX,68,11
ICICINBBCTS,CRESCHZZXXX,141,20
CRESCHZZXXX,ICICINBBCTS,141,11
WFBIUS6SXXX,CRESCHZZXXX,238,15
CRESCHZZXXX,WFBIUS6SXXX,238,11
ABOCCNBJXXX,CRESCHZZXXX,188,10
CRESCHZZXXX,ABOCCNBJXXX,188,11
BKCHCNBJXXX,CRESCHZZXXX,98,12
CRESCHZZXXX,BKCHCNBJXXX,98,11
HYVEDEMMXXX,CRESCHZZXXX,145,10
CRESCHZZXXX,HYVEDEMMXXX,145,11
HELADEF1RRS,CRESCHZZXXX,216,10
CRESCHZZXXX,HELADEF1RRS,216,11
BOFAUS3NXXX,CRESCHZZXXX,76,12
CRESCHZZXXX,BOFAUS3NXXX,76,11
UTIBINBBXXX,CRESCHZZXXX,78,15
CRESCHZZXXX,UTIBINBBXXX,78,11
CITIUS33XXX,CRESCHZZXXX,129,10
CRESCHZZXXX,CITIUS33XXX,129,11
CHASUS33XXX,CRESCHZZXXX,114,14
CRESCHZZXXX,CHASUS33XXX,114,11
HDFCINBBXXX,CRESCHZZXXX,178,20
CRESCHZZXXX,HDFCINBBXXX,178,11
CCBCCNBJXXX,CRESCHZZXXX,206,13
CRESCHZZXXX,CCBCCNBJXXX,206,11
RABONL2UXXX,CRESCHZZXXX,83,17
CRESCHZZXXX,RABONL2UXXX,83,11
RBOSGB2LXXX,CRESCHZZXXX,69,11
CRESCHZZXXX,RBOSGB2LXXX,69,11
SOGEFRPPXXX,CRESCHZZXXX,69,19
CRESCHZZXXX,SOGEFRPPXXX,69,11
MIDLGB22XXX,CRESCHZZXXX,142,13
CRESCHZZXXX,MIDLGB22XXX,142,11
COBADEFFXXX,CRESCHZZXXX,201,19
CRESCHZZXXX,COBADEFFXXX,201,11
WPACAU2SXXX,CRESCHZZXXX,185,20
CRESCHZZXXX,WPACAU2SXXX,185,11
INGBNL2AXXX,CRESCHZZXXX,140,14
CRESCHZZXXX,INGBNL2AXXX,140,11
PCBCCNBJXXX,CRESCHZZXXX,81,20
CRESCHZZXXX,PCBCCNBJXXX,81,11
BNPAFRPPXXX,CRLYFRPPXXX,81,18
CRLYFRPPXXX,BNPAFRPPXXX,81,12
CICIFRPPXXX,CRLYFRPPXXX,80,12
CRLYFRPPXXX,CICIFRPPXXX,80,12
CCBPFRPPXXX,CRLYFRPPXXX,74,13
CRLYFRPPXXX,CCBPFRPPXXX,74,12
AGRIFRPPXXX,CRLYFRPPXXX,82,11
CRLYFRPPXXX,AGRIFRPPXXX,82,12
BBVAFRPPXXX,CRLYFRPPXXX,53,17
CRLYFRPPXXX,BBVAFRPPXXX,53,12
CMADFRPPXXX,CRLYFRPPXXX,46,19
CRLYFRPPXXX,CMADFRPPXXX,46,12
CALDFR21XXX,CRLYFRPPXXX,117,13
CRLYFRPPXXX,CALDFR21XXX,117,12
SOGEFRPPXXX,CRLYFRPPXXX,67,19
CRLYFRPPXXX,SOGEFRPPXXX,67,12
CITIFRPPXXX,CRLYFRPPXXX,30,14
CRLYFRPPXXX,CITIFRPPXXX,30,12
KNABNL2HXXX,CRLYFRPPXXX,170,16
CRLYFRPPXXX,KNABNL2HXXX,170,12
MHCBJPJTXXX,CRLYFRPPXXX,155,15
CRLYFRPPXXX,MHCBJPJTXXX,155,12
ABNANL2AXXX,CRLYFRPPXXX,172,16
CRLYFRPPXXX,ABNANL2AXXX,172,12
DEUTDEBBXXX,CRLYFRPPXXX,167,15
CRLYFRPPXXX,DEUTDEBBXXX,167,12
MMTOJPJTXXX,CRLYFRPPXXX,102,20
CRLYFRPPXXX,MMTOJPJTXXX,102,12
NATAAU3302S,CRLYFRPPXXX,210,16
CRLYFRPPXXX,NATAAU3302S,210,12
BLKBCH22XXX,CRLYFRPPXXX,72,17
CRLYFRPPXXX,BLKBCH22XXX,72,12
CRESCHZZXXX,CRLYFRPPXXX,77,11
CRLYFRPPXXX,CRESCHZZXXX,77,12
HSBCGB2LXXX,CRLYFRPPXXX,227,14
CRLYFRPPXXX,HSBCGB2LXXX,227,12
SBININBBFXD,CRLYFRPPXXX,90,15
CRLYFRPPXXX,SBININBBFXD,90,12
ANZBAU3MXXX,CRLYFRPPXXX,147,13
CRLYFRPPXXX,ANZBAU3MXXX,147,12
BOTKJPJTXXX,CRLYFRPPXXX,100,15
CRLYFRPPXXX,BOTKJPJTXXX,100,12
BARCGB22XXX,CRLYFRPPXXX,209,18
CRLYFRPPXXX,BARCGB22XXX,209,12
SMBCJPJTXXX,CRLYFRPPXXX,112,14
CRLYFRPPXXX,SMBCJPJTXXX,112,12
CUSCAU2SXXX,CRLYFRPPXXX,124,20
CRLYFRPPXXX,CUSCAU2SXXX,124,12
ICICINBBCTS,CRLYFRPPXXX,218,20
CRLYFRPPXXX,ICICINBBCTS,218,12
WFBIUS6SXXX,CRLYFRPPXXX,122,15
CRLYFRPPXXX,WFBIUS6SXXX,122,12
ABOCCNBJXXX,CRLYFRPPXXX,207,10
CRLYFRPPXXX,ABOCCNBJXXX,207,12
BKCHCNBJXXX,CRLYFRPPXXX,179,12
CRLYFRPPXXX,BKCHCNBJXXX,179,12
HYVEDEMMXXX,CRLYFRPPXXX,66,10
CRLYFRPPXXX,HYVEDEMMXXX,66,12
HELADEF1RRS,CRLYFRPPXXX,106,10
CRLYFRPPXXX,HELADEF1RRS,106,12
BOFAUS3NXXX,CRLYFRPPXXX,200,12
CRLYFRPPXXX,BOFAUS3NXXX,200,12
BAFUCH22XXX,CRLYFRPPXXX,173,14
CRLYFRPPXXX,BAFUCH22XXX,173,12
UTIBINBBXXX,CRLYFRPPXXX,211,15
CRLYFRPPXXX,UTIBINBBXXX,211,12
CITIUS33XXX,CRLYFRPPXXX,115,10
CRLYFRPPXXX,CITIUS33XXX,115,12
CHASUS33XXX,CRLYFRPPXXX,100,14
CRLYFRPPXXX,CHASUS33XXX,100,12
HDFCINBBXXX,CRLYFRPPXXX,95,20
CRLYFRPPXXX,HDFCINBBXXX,95,12
UBSWCHZH80A,CRLYFRPPXXX,170,17
CRLYFRPPXXX,UBSWCHZH80A,170,12
CCBCCNBJXXX,CRLYFRPPXXX,79,13
CRLYFRPPXXX,CCBCCNBJXXX,79,12
RABONL2UXXX,CRLYFRPPXXX,182,17
CRLYFRPPXXX,RABONL2UXXX,182,12
RBOSGB2LXXX,CRLYFRPPXXX,201,11
CRLYFRPPXXX,RBOSGB2LXXX,201,12
MIDLGB22XXX,CRLYFRPPXXX,190,13
CRLYFRPPXXX,MIDLGB22XXX,190,12
COBADEFFXXX,CRLYFRPPXXX,96,19
CRLYFRPPXXX,COBADEFFXXX,96,12
WPACAU2SXXX,CRLYFRPPXXX,132,20
CRLYFRPPXXX,WPACAU2SXXX,132,12
INGBNL2AXXX,CRLYFRPPXXX,117,14
CRLYFRPPXXX,INGBNL2AXXX,117,12
PCBCCNBJXXX,CRLYFRPPXXX,138,20
CRLYFRPPXXX,PCBCCNBJXXX,138,12
BNPAFRPPXXX,AGRIFRPPXXX,37,18
AGRIFRPPXXX,BNPAFRPPXXX,37,11
CICIFRPPXXX,AGRIFRPPXXX,56,12
AGRIFRPPXXX,CICIFRPPXXX,56,11
CCBPFRPPXXX,AGRIFRPPXXX,74,13
AGRIFRPPXXX,CCBPFRPPXXX,74,11
CRLYFRPPXXX,AGRIFRPPXXX,28,12
AGRIFRPPXXX,CRLYFRPPXXX,28,11
BBVAFRPPXXX,AGRIFRPPXXX,77,17
AGRIFRPPXXX,BBVAFRPPXXX,77,11
CMADFRPPXXX,AGRIFRPPXXX,11,19
AGRIFRPPXXX,CMADFRPPXXX,11,11
CALDFR21XXX,AGRIFRPPXXX,56,13
AGRIFRPPXXX,CALDFR21XXX,56,11
SOGEFRPPXXX,AGRIFRPPXXX,56,19
AGRIFRPPXXX,SOGEFRPPXXX,56,11
CITIFRPPXXX,AGRIFRPPXXX,46,14
AGRIFRPPXXX,CITIFRPPXXX,46,11
KNABNL2HXXX,AGRIFRPPXXX,193,16
AGRIFRPPXXX,KNABNL2HXXX,193,11
MHCBJPJTXXX,AGRIFRPPXXX,107,15
AGRIFRPPXXX,MHCBJPJTXXX,107,11
ABNANL2AXXX,AGRIFRPPXXX,177,16
AGRIFRPPXXX,ABNANL2AXXX,177,11
DEUTDEBBXXX,AGRIFRPPXXX,159,15
AGRIFRPPXXX,DEUTDEBBXXX,159,11
MMTOJPJTXXX,AGRIFRPPXXX,226,20
AGRIFRPPXXX,MMTOJPJTXXX,226,11
NATAAU3302S,AGRIFRPPXXX,184,16
AGRIFRPPXXX,NATAAU3302S,184,11
BLKBCH22XXX,AGRIFRPPXXX,206,17
AGRIFRPPXXX,BLKBCH22XXX,206,11
CRESCHZZXXX,AGRIFRPPXXX,186,11
AGRIFRPPXXX,CRESCHZZXXX,186,11
HSBCGB2LXXX,AGRIFRPPXXX,116,14
AGRIFRPPXXX,HSBCGB2LXXX,116,11
SBININBBFXD,AGRIFRPPXXX,176,15
AGRIFRPPXXX,SBININBBFXD,176,11
ANZBAU3MXXX,AGRIFRPPXXX,61,13
AGRIFRPPXXX,ANZBAU3MXXX,61,11
BOTKJPJTXXX,AGRIFRPPXXX,156,15
AGRIFRPPXXX,BOTKJPJTXXX,156,11
BARCGB22XXX,AGRIFRPPXXX,212,18
AGRIFRPPXXX,BARCGB22XXX,212,11
SMBCJPJTXXX,AGRIFRPPXXX,171,14
AGRIFRPPXXX,SMBCJPJTXXX,171,11
CUSCAU2SXXX,AGRIFRPPXXX,176,20
AGRIFRPPXXX,CUSCAU2SXXX,176,11
ICICINBBCTS,AGRIFRPPXXX,153,20
AGRIFRPPXXX,ICICINBBCTS,153,11
WFBIUS6SXXX,AGRIFRPPXXX,132,15
AGRIFRPPXXX,WFBIUS6SXXX,132,11
ABOCCNBJXXX,AGRIFRPPXXX,125,10
AGRIFRPPXXX,ABOCCNBJXXX,125,11
BKCHCNBJXXX,AGRIFRPPXXX,190,12
AGRIFRPPXXX,BKCHCNBJXXX,190,11
HYVEDEMMXXX,AGRIFRPPXXX,205,10
AGRIFRPPXXX,HYVEDEMMXXX,205,11
HELADEF1RRS,AGRIFRPPXXX,182,10
AGRIFRPPXXX,HELADEF1RRS,182,11
BOFAUS3NXXX,AGRIFRPPXXX,87,12
AGRIFRPPXXX,BOFAUS3NXXX,87,11
BAFUCH22XXX,AGRIFRPPXXX,65,14
AGRIFRPPXXX,BAFUCH22XXX,65,11
UTIBINBBXXX,AGRIFRPPXXX,71,15
AGRIFRPPXXX,UTIBINBBXXX,71,11
CITIUS33XXX,AGRIFRPPXXX,184,10
AGRIFRPPXXX,CITIUS33XXX,184,11
CHASUS33XXX,AGRIFRPPXXX,93,14
AGRIFRPPXXX,CHASUS33XXX,93,11
HDFCINBBXXX,AGRIFRPPXXX,172,20
AGRIFRPPXXX,HDFCINBBXXX,172,11
UBSWCHZH80A,AGRIFRPPXXX,186,17
AGRIFRPPXXX,UBSWCHZH80A,186,11
CCBCCNBJXXX,AGRIFRPPXXX,162,13
AGRIFRPPXXX,CCBCCNBJXXX,162,11
RABONL2UXXX,AGRIFRPPXXX,60,17
AGRIFRPPXXX,RABONL2UXXX,60,11
RBOSGB2LXXX,AGRIFRPPXXX,61,11
AGRIFRPPXXX,RBOSGB2LXXX,61,11
MIDLGB22XXX,AGRIFRPPXXX,115,13
AGRIFRPPXXX,MIDLGB22XXX,115,11
COBADEFFXXX,AGRIFRPPXXX,107,19
AGRIFRPPXXX,COBADEFFXXX,107,11
WPACAU2SXXX,AGRIFRPPXXX,178,20
AGRIFRPPXXX,WPACAU2SXXX,178,11
INGBNL2AXXX,AGRIFRPPXXX,215,14
AGRIFRPPXXX,INGBNL2AXXX,215,11
PCBCCNBJXXX,AGRIFRPPXXX,92,20
AGRIFRPPXXX,PCBCCNBJXXX,92,11
BNPAGB22XXX,HSBCGB2LXXX,51,16
HSBCGB2LXXX,BNPAGB22XXX,51,14
SCBLGB2LXXX,HSBCGB2LXXX,90,10
HSBCGB2LXXX,SCBLGB2LXXX,90,14
AGRNGB2LXXX,HSBCGB2LXXX,116,12
HSBCGB2LXXX,AGRNGB2LXXX,116,14
LLOYGB2LXXX,HSBCGB2LXXX,89,15
HSBCGB2LXXX,LLOYGB2LXXX,89,14
BARCGB22XXX,HSBCGB2LXXX,47,18
HSBCGB2LXXX,BARCGB22XXX,47,14
NWBKGB2LXXX,HSBCGB2LXXX,117,13
HSBCGB2LXXX,NWBKGB2LXXX,117,14
RBOSGB2LXXX,HSBCGB2LXXX,32,11
HSBCGB2LXXX,RBOSGB2LXXX,32,14
MIDLGB22XXX,HSBCGB2LXXX,29,13
HSBCGB2LXXX,MIDLGB22XXX,29,14
JPMCGB2LXXX,HSBCGB2LXXX,70,13
HSBCGB2LXXX,JPMCGB2LXXX,70,14
BNPAFRPPXXX,HSBCGB2LXXX,210,18
HSBCGB2LXXX,BNPAFRPPXXX,210,14
KNABNL2HXXX,HSBCGB2LXXX,182,16
HSBCGB2LXXX,KNABNL2HXXX,182,14
MHCBJPJTXXX,HSBCGB2LXXX,223,15
HSBCGB2LXXX,MHCBJPJTXXX,223,14
ABNANL2AXXX,HSBCGB2LXXX,94,16
HSBCGB2LXXX,ABNANL2AXXX,94,14
DEUTDEBBXXX,HSBCGB2LXXX,131,15
HSBCGB2LXXX,DEUTDEBBXXX,131,14
MMTOJPJTXXX,HSBCGB2LXXX,187,20
HSBCGB2LXXX,MMTOJPJTXXX,187,14
NATAAU3302S,HSBCGB2LXXX,217,16
HSBCGB2LXXX,NATAAU3302S,217,14
BLKBCH22XXX,HSBCGB2LXXX,159,17
HSBCGB2LXXX,BLKBCH22XXX,159,14
CRESCHZZXXX,HSBCGB2LXXX,193,11
HSBCGB2LXXX,CRESCHZZXXX,193,14
CRLYFRPPXXX,HSBCGB2LXXX,228,12
HSBCGB2LXXX,CRLYFRPPXXX,228,14
AGRIFRPPXXX,HSBCGB2LXXX,102,11
HSBCGB2LXXX,AGRIFRPPXXX,102,14
SBININBBFXD,HSBCGB2LXXX,227,15
HSBCGB2LXXX,SBININBBFXD,227,14
ANZBAU3MXXX,HSBCGB2LXXX,159,13
HSBCGB2LXXX,ANZBAU3MXXX,159,14
BOTKJPJTXXX,HSBCGB2LXXX,228,15
HSBCGB2LXXX,BOTKJPJTXXX,228,14
SMBCJPJTXXX,HSBCGB2LXXX,149,14
HSBCGB2LXXX,SMBCJPJTXXX,149,14
CUSCAU2SXXX,HSBCGB2LXXX,160,20
HSBCGB2LXXX,CUSCAU2SXXX,160,14
ICICINBBCTS,HSBCGB2LXXX,229,20
HSBCGB2LXXX,ICICINBBCTS,229,14
WFBIUS6SXXX,HSBCGB2LXXX,204,15
HSBCGB2LXXX,WFBIUS6SXXX,204,14
ABOCCNBJXXX,HSBCGB2LXXX,207,10
HSBCGB2LXXX,ABOCCNBJXXX,207,14
BKCHCNBJXXX,HSBCGB2LXXX,167,12
HSBCGB2LXXX,BKCHCNBJXXX,167,14
HYVEDEMMXXX,HSBCGB2LXXX,178,10
HSBCGB2LXXX,HYVEDEMMXXX,178,14
HELADEF1RRS,HSBCGB2LXXX,240,10
HSBCGB2LXXX,HELADEF1RRS,240,14
BOFAUS3NXXX,HSBCGB2LXXX,229,12
HSBCGB2LXXX,BOFAUS3NXXX,229,14
BAFUCH22XXX,HSBCGB2LXXX,118,14
